Station,fx,fy,fz,Latitude,Longitude,Zone,Postcode,Zone_original
Pimlico,529711,178386,0,51.48955264664940,-0.133108257,1,SW1V 2JA,1
Pinner,512233,189409,0,51.59236105660720,-0.381223782,5,HA5 5LZ,5
Plaistow,540058,183305,0,51.53128836681780,0.017780641996985200,3,E13 0DY,3
Plumstead,544803,178820,0,51.48979256526220,0.084299617,4,SE18 7EA,4
Ponders End,536097,195599,0,51.642730637439400,-0.034525104,5,EN3 4LA,5
Pontoon Dock,541226,180102,0,51.502216272914400,0.033325708,3,E16 2SB,3
Poplar,537698,180603,0,51.507588044837600,-0.017275493,2,E14 0DS,2
Preston Road,518260,187292,0,51.57210324779930,-0.294972007,4,HA3 0PS,4
Prince Regent,541215,180905,0,51.50943460724030,0.033488574,3,E16 3HE,3
Pudding Mill Lane,537930,183585,0,51.534327836050600,-0.012768512,2,E15 2PH,"2,3"
Purfleet,555417,178174,0,51.48117339669360,0.23677483909718800,7,RM16 1PL,7
Purley,531500,161497,0,51.337363370371300,-0.113613517,6,CR8 2AP,6
Purley Oaks,532503,162594,0,51.34698918049690,-0.098815333,6,CR2 0ND,6
Putney,523992,175061,0,51.46095217815320,-0.216603371,2,SW15 1RT,"2,3"
Putney Bridge,524476,175842,0,51.46786499705640,-0.209365414,2,SW6 3UH,2
Queens Park,524612,183239,0,51.53431231776350,-0.204798147,2,NW6 6HJ,2
Queens Road Peckham,535015,176825,0,51.47428461792390,-0.057354979,2,SE15 2JR,2
Queensbury,518802,189728,0,51.59388250931330,-0.286331593,4,HA8 5NP,4
Queenstown Road,528763,176738,0,51.47495888831450,-0.147355311,2,SW8 3RX,2
Queensway,525883,180615,0,51.51044892854770,-0.187419901,1,W2 4SS,1
Rainham,552097,182099,0,51.517340830335700,0.1906919776381580,6,RM13 9YH,6
Ravensbourne,538699,170201,0,51.41387036990730,-0.006937816,4,BR3 5HE,4
Ravenscourt Park,522558,178711,0,51.4940676,-0.23596923,2,W6 0UG,2
Rayners Lane,512979,187538,0,51.575396127388500,-0.371060806,5,HA5 5EG,5
Raynes Park,523206,169303,0,51.409374971183600,-0.229912936,4,SW20 8NE,4
Reading,471527,173813,0,51.458784566812600,-0.971877621,9,RG1 1LZ,
Rectory Road,534001,186199,0,51.55876336735920,-0.068385664,2,N16 7QB,2
Redbridge,541833,188371,0,51.576366994360600,0.045394044087077400,4,IG4 5BG,4
Reedham,530835,160821,0,51.33144151324280,-0.123402624,6,CR8 2DG,6
Reeves Corner,531895,165726,0,51.375277028631000,-0.106379778,3,CR0 1XP,"3,4,5,6"
Regents Park,528765,182174,0,51.523810437772800,-0.14534441,1,NW1 5HA,1
Richmond,518072,175174,0,51.46323239395920,-0.301739129,4,TW9 2AZ,4
Rickmansworth,505717,194605,0,51.640322241933700,-0.473684571,7,WD3 1QY,7
Riddlesdown,532497,161001,0,51.332674670332900,-0.099493667,6,CR8 1HN,6
Roding Valley,541612,192882,0,51.61695652081230,0.044026207,4,IG9 6LN,4
Romford,551377,188455,0,51.57464189428390,0.18305527427581000,6,RM1 1SX,6
Rotherhithe,535239,179870,0,51.501594420702700,-0.052966296,2,SE16 4LF,2
Royal Albert,542029,180823,0,51.50849394631010,0.045177145189641400,3,E16 2QD,3
Royal Oak,525764,181485,0,51.51829405,-0.188823672,2,W2 6ET,2
Royal Victoria,540139,180833,0,51.50905526715450,0.017965412588985900,3,E16 1DE,3
Ruislip,509510,187102,0,51.572161233876200,-0.421234916,6,HA4 8LD,6
Ruislip Gardens,510367,185763,0,51.55995951052220,-0.409294101,5,HA4 6LG,5
Ruislip Manor,510088,187258,0,51.573450901149100,-0.412849344,6,HA4 9AA,6
Russell Square,530207,182122,0,51.523012836646200,-0.124590197,1,WC1N 1LG,1
Sanderstead,532855,162743,0,51.34824610257360,-0.0937085,6,CR2 0PL,6
Sandilands,533869,165749,0,51.37502214682390,-0.078026589,3,CR0 5PN,"3,4,5,6"
Selhurst,532993,167636,0,51.392185625136400,-0.089899037,4,SE25 6LL,4
Seven Kings,545401,187095,0,51.56399351215580,0.096319575,4,IG3 8RE,4
Seven Sisters,533646,188927,0,51.58336204399540,-0.072466823,3,N15 5LA,3
Shadwell,534936,180942,0,51.511300064669400,-0.056919207,2,E1 2QE,2
Shenfield,561356,195022,0,51.630873639892400,0.32995227076530600,7,CM15 8JD,7
Shepherds Bush,523741,179904,0,51.504531795613900,-0.218519157,2,W12 8LH,2
Shepherds Bush Market,523121,180039,0,51.50588033819020,-0.22740049,2,W12 7JD,2
Shoreditch High Street,533501,182258,0,51.523466695343100,-0.077087424,1,E1 6AW,1
Shortlands,539399,169300,0,51.40560237398420,0.002767544,4,BR2 0JA,4
Sidcup,546300,172698,0,51.43439862959480,0.10331535971945400,5,DA15 7AW,5
Silver Street,533544,192472,0,51.61524236180800,-0.072589741,4,N18 1QX,4
Slade Green,552250,176584,0,51.46774797004990,0.19051838969715900,6,DA8 2NX,6
Sloane Square,528080,178657,0,51.492359510480600,-0.156488856,1,SW1W 8BB,1
Slough,497838,180157,0,51.51187888370570,-0.591524825,9,SL1 1XW,
Snaresbrook,540161,188828,0,51.58089131157070,0.021463927810755000,4,E11 1QE,4
South Acton,520166,179279,0,51.49968538827370,-0.270215203,3,W3 0DS,3
South Bermondsey,535156,178319,0,51.48767652828430,-0.054754821,2,SE16 2PL,2
South Croydon,532896,164358,0,51.36275004887510,-0.092517363,5,CR2 7PA,5
South Ealing,517605,179437,0,51.50164352033090,-0.307040239,3,W5 4QB,3
South Greenford,515462,182991,0,51.53402700823880,-0.336737475,4,UB6 2WE,4
South Hampstead,526425,184081,0,51.54147655809490,-0.178371198,2,NW8 0DJ,2
South Harrow,514334,186376,0,51.56467959482170,-0.351893964,5,HA2 8HN,5
South Kensington,526865,178817,0,51.494071083255200,-0.173923021,1,SW7 2NB,1
South Kenton,517350,187153,0,51.571043947551300,-0.308142972,4,HA9 8QT,4
South Merton,524917,168662,0,51.403240220781200,-0.205550299,4,SW20 9JT,4
South Quay,537636,179853,0,51.50086357890650,-0.018460693,2,E14 9SH,2
South Ruislip,511080,185437,0,51.55688965147800,-0.399115901,5,HA4 6TP,5
South Tottenham,533697,188599,0,51.580402471228100,-0.071855956,3,N15 6ND,3
South Wimbledon,525828,170033,0,51.41536039779990,-0.191974544,3,SW19 1DE,"3,4"
South Woodford,540577,190026,0,51.59155266475490,0.027943078,4,E18 1JJ,4
Southall,512620,179804,0,51.50595629378950,-0.378711181,4,UB2 4AA,4
Southbury,534803,196199,0,51.648433641300100,-0.05298331,5,EN3 4HW,5
Southfields,524730,173291,0,51.44488297741000,-0.206609383,3,SW18 5RJ,3
Southgate,529675,194278,0,51.63237564173070,-0.127770046,4,N14 5BH,4
Southwark,531566,180025,0,51.50385344972170,-0.105794939,1,SE1 8NW,1
St Helier,525408,167191,0,51.38991183992140,-0.19901459,4,SM4 6SF,4
St James Street,536402,188694,0,51.580608613025800,-0.032804562,3,E17 7PJ,3
St Johns,537400,176298,0,51.46897525930410,-0.023240662,2,SE8 4EW,2
St Margarets,516732,174250,0,51.45520547,-0.321324242,4,TW1 2LH,4
St Mary Cray,546698,168298,0,51.39475958639220,0.10721790023829000,6,BR5 3SN,6
